"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K","temp_oC"
2008,"2008-08-21","2008-08-27",6,1,226,0.57,5.71,2,4,22.86,2.29,0,1.71,4.57,2.86,1.71,0.29,0,0,302.61714390346,29.4671439034598
2008,"2008-08-28","2008-09-03",6,1,233,0,15.43,0.57,4.86,14.57,2.29,0,1.43,16.29,5.14,0.86,0,0,0,302.840000697545,29.6900006975447
2008,"2008-09-04","2008-09-10",6,1,240,0,6.57,1.71,6,26.86,5.43,0,2,8.57,6.57,0.57,0,0,0,301.771427699498,28.6214276994978
2008,"2008-09-11","2008-09-17",6,1,247,0.29,7.43,5.71,15.71,30.57,1.43,0.29,2.29,6.57,3.43,0,0.29,0,0,300.712855747768,27.5628557477679
2008,"2008-09-18","2008-09-24",6,1,254,5.14,3.43,2.57,10.86,12,3.14,6,25.14,3.14,3.71,4.29,0.29,0.29,0,300.140001569475,26.9900015694755
2008,"2008-09-25","2008-10-01",6,1,261,0.29,31.14,5.43,9.14,15.14,0.86,14.29,22.86,9.43,1.71,2.29,0.29,0.86,0,300.005719866071,26.8557198660715
2008,"2008-10-02","2008-10-08",6,1,268,1.14,16.57,8.86,8,39.14,1.43,9.71,20,9.43,1.43,4.29,0,0.29,0,300.082855224609,26.9328552246094
2008,"2008-10-09","2008-10-15",6,1,275,6,11.43,5.43,24.86,5.14,2.29,7.14,11.71,11.43,1.14,2.57,0,0,0.29,300.964285714286,27.8142857142857
2008,"2008-10-16","2008-10-22",6,4,282,7.14,5.43,5.43,9.14,6,1.14,5.43,4,5.71,0,2.86,0,0,0,300.352857317243,27.2028573172433
2008,"2008-10-26","2008-11-01",6,1,292,6,45.43,2.57,27.14,12.57,0.57,20,22,7.14,10,3.43,0,0.29,0,299.038569859096,25.888569859096
2008,"2008-11-02","2008-11-08",6,1,299,5.14,14.86,2.29,16,4,1.71,68.57,30.29,8,8.57,9.14,0,0,0,298.364288330078,25.2142883300781
2008,"2008-11-09","2008-11-15",6,1,306,44,45.14,18.29,38.29,11.43,5.14,177.71,36,14.29,1.14,6.86,0,0.57,0,298.332850864955,25.1828508649554
2008,"2008-11-16","2008-11-22",6,1,313,34.86,19.43,6.29,33.71,11.43,2.86,125.14,72,18.29,0,5.14,0,0.57,0.57,297.804282052176,24.6542820521764
