"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal"
2012,2012-11-14,2012-11-20,6,1,1772,5.43,64.29,5.71,27.71,9.14,12.29,12,8,8.29,2.29,0.86,0,0,0
2012,2012-11-21,2012-11-27,6,1,1779,6.86,15.43,4,18.86,9.71,58.29,29.14,19.43,5.14,1.14,5.14,0,0,0
2012,2012-11-28,2012-12-04,6,1,1786,23.14,6.57,3.71,20.86,7.71,26.29,34.29,14.57,3.43,2,0.57,0,0,0
2012,2012-12-05,2012-12-11,6,1,1793,7.14,3.43,2.29,16.29,1.14,6.29,15.43,10.57,4,0.29,0.57,0,0,0
2012,2012-12-12,2012-12-18,6,1,1800,4,4.29,0,3.43,0.86,7.14,3.71,13.14,2.86,0.57,0.29,0,0,0
2012,2012-12-19,2012-12-25,6,1,1807,3.43,2.86,0,1.43,0.29,2.29,2,4.29,2.86,0,0,0,0,0
2012,2012-12-26,2013-01-01,6,1,1814,4.29,2.57,1.14,2.29,2.57,5.14,12.86,7.71,5.71,0,0.29,0.86,0,0
2013,2013-01-02,2013-01-08,6,1,1821,24.57,8.57,1.71,20.57,6.86,20,113.14,40.57,29.71,2.29,1.14,4.57,0,5.71
2013,2013-01-09,2013-01-15,6,1,1828,3.71,5.71,0.57,6,1.14,4.86,36.57,24.57,11.71,0,0,4,0.86,7.43
2013,2013-01-16,2013-01-22,6,1,1835,16.57,6.86,1.14,8.57,5.71,12.57,70.29,66.29,34.86,0,2.86,15.43,0.57,4
2013,2013-01-23,2013-01-29,6,9,1842,2.86,1.43,1.14,9.71,5.43,19.14,17.71,24.57,19.71,0.29,1.14,30,0,3.14
2013,2013-02-07,2013-02-13,6,1,1857,4.57,64.71,1.71,12,10.29,9.71,9.14,28.57,150,7.43,9.71,932.35,0,0
2013,2013-02-14,2013-02-20,6,1,1864,1.14,4,1.43,8.86,9.14,7.43,4.57,7.43,23.14,2.29,1.43,67.71,0,0
2013,2013-02-21,2013-03-06,13,1,1878,5.43,3.71,3.14,125.43,56,76.57,37.71,45.71,104,0.86,12.57,68.86,2.57,1.14
2013,2013-03-07,2013-03-20,13,1,1892,4.57,42,23.14,55.43,62.57,57.14,65.43,58.57,86.29,1.71,25.71,38,1.14,0.29
2013,2013-03-21,2013-04-03,13,1,1906,17.71,16.57,10,16.57,49.14,27.43,22.57,49.71,106.57,5.14,24,79.71,0.29,0
2013,2013-04-04,2013-04-17,13,1,1920,6.29,7.43,0.57,31.14,21.43,26,11.14,28.29,71.43,2.57,3.71,13.43,0,0
2013,2013-04-18,2013-05-01,13,1,1934,9.71,4.29,10,57.14,24,20.57,6.86,14.57,41.71,1.14,3.71,10,0,0
2013,2013-05-02,2013-05-15,13,1,1948,2.43,7.57,4.14,9.43,7.71,6.29,1.57,4.86,19.57,4.14,0.43,9.57,0,0.14
2013,2013-05-16,2013-05-29,13,1,1962,3.71,6.43,3.86,8.29,7.71,5.86,1.57,3.57,28.14,2.57,1.14,3.29,0,0.14
2013,2013-05-30,2013-06-12,13,1,1976,2,5.71,3.86,4.14,5.71,6.71,1,1.14,17.43,2.14,1.43,1.57,0,0
2013,2013-06-13,2013-06-26,13,1,1990,0.14,5.29,3.14,2.14,6.43,7.43,0.43,0.71,18.71,0.29,0.14,0.57,0,0
2013,2013-06-27,2013-07-10,13,1,2004,1,4.71,4.71,2,6.29,9,0.14,1.14,14.14,1.57,1.57,1.29,0.14,0
2013,2013-07-11,2013-07-24,13,1,2018,0.43,3.43,2.71,13,12.57,23.29,0,0.86,9.43,1,1.57,0.57,0,0
2013,2013-07-25,2013-08-07,13,1,2032,0,6.71,3.29,7.43,11.86,15.43,1.29,0.71,0.43,0,0.43,0.29,0,0.14
2013,2013-08-08,2013-08-21,13,1,2046,0.14,3.43,3.86,12,15.86,16.29,0.29,0.29,9.71,0.86,1,1,0,0
2013,2013-08-22,2013-09-04,13,1,2060,0.57,1.43,1.86,6.57,8.43,3.86,0.57,1.43,3,0.14,0,0.71,0,0
2013,2013-09-05,2013-09-18,13,1,2074,0.29,3.29,2.43,5.71,28.86,12,0,2.14,3,0.71,0.57,0,0,0
2013,2013-09-19,2013-10-02,13,1,2088,0.57,4.57,1.14,4.29,36,24.29,0.29,0.29,9.14,0,0.86,0,0,0
2013,2013-10-03,2013-10-16,13,1,2102,0.43,6.29,0.86,5.86,26.71,13.14,0,2.57,5.86,0.86,0.57,0.29,0,0
2013,2013-10-17,2013-10-30,13,1,2116,2.86,4.43,3.14,5.43,22.86,11.14,0.14,2,4.86,0.29,0.29,0.29,0,0
2013,2013-10-31,2013-11-13,13,10,2130,1,0.43,0.71,1.86,3.71,2.57,0.29,0,1.14,0,0.14,0.29,0,0.14
2013,2013-11-23,2013-11-29,6,1,2146,10.29,9.43,0.29,5.43,4.86,4.29,35.43,30.29,5.43,0.29,0.86,0,0,0
2013,2013-11-30,2013-12-06,6,1,2153,4,17.71,0.57,1.14,2.86,7.43,88,48.57,13.14,0,2.86,0,0.57,0.57
2013,2013-12-07,2013-12-13,6,1,2160,2.86,10.57,2,6.29,4,4,56.57,37.71,5.43,0.29,0.86,0,0,1.71
2013,2013-12-14,2013-12-20,6,1,2167,4,5.43,1.71,3.43,1.14,0.86,13.14,6.86,1.71,1.43,0,0,0,0
2013,2013-12-21,2013-12-27,6,1,2174,2.86,4,1.43,2.57,0.57,0.29,11.71,6.86,5.43,0,0,0.57,0,0
2013,2013-12-28,2014-01-03,6,1,2181,0,5.43,1.14,0.86,0.86,0.86,3.71,5.43,5.71,0,0,0.57,0,0
2014,2014-01-04,2014-01-10,6,1,2188,1.14,0.29,0.29,1.14,0,0.57,4.29,3.43,6.86,0.86,0,6,0,0
2014,2014-01-11,2014-01-17,6,1,2195,1.14,0,1.71,1.43,0.86,0.86,7.14,5.43,4,0.29,0.57,7.43,0,0.86
2014,2014-01-18,2014-01-24,6,1,2202,5.71,2.29,1.14,2.86,6.86,6.86,45.71,34.86,16,0,8,57.71,0,2.29
2014,2014-01-25,2014-01-31,6,1,2209,12.57,32,3.43,7.43,12.57,13.14,66.29,57.71,119.43,5.71,21.71,609.14,0,1.71
2014,2014-02-01,2014-02-07,6,1,2216,6.29,18.29,0,4.57,6.86,7.43,31.43,44.57,44.57,4,6.29,430.86,0,1.71
2014,2014-02-08,2014-02-14,6,1,2223,2,0.29,0,0.57,2.29,2.29,0.86,4.57,7.43,0.29,1.43,26,0,0.29
2014,2014-02-15,2014-02-21,6,1,2230,2.86,4,0,2.29,4,2.86,6.86,10.86,15.71,0.29,1.14,42,0.29,1.71
2014,2014-02-22,2014-02-28,6,1,2237,2.29,2.57,0.86,1.71,2.57,2.86,4.86,5.14,9.43,1.43,2.29,32,0,0.57
2014,2014-03-01,2014-03-08,7,NA,2245,3,6,0.75,2.75,5.5,6.25,5.25,9.5,28,1,2.5,37.25,0,2.5
