open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
15/01/12,22/01/12,19/01/12,19,1469,7,0,23.20625076,8.57,12,4,16.57,17.71,24,18.86,17.71,6.86,0.57,5.14,74.29,0,21.14
22/01/12,29/01/12,26/01/12,26,1476,7,0,23.23999939,1.43,5.71,1.71,7.43,5.14,11.71,9.14,10.29,7.43,0,2.86,52.86,0,12
29/01/12,05/02/12,02/02/12,33,1483,7,0,22.49500046,0.57,0.57,0,2.86,1.14,2.57,0.86,1.71,4.29,0,0.29,20.29,0,2.57
05/02/12,12/02/12,09/02/12,40,1490,7,44,22.15124664,0,0.57,0,0,0.29,0.57,0.57,0.57,1.14,0,0.29,3.14,0,0.57
27/03/12,03/04/12,31/03/12,91,1541,7,0,24.44499741,2.57,10.29,2.57,8.57,8.57,2.29,1.14,7.43,28.57,2.86,0.57,37.14,0,0
03/04/12,10/04/12,07/04/12,98,1548,7,0,24.26749954,12.86,19.43,5.71,6.29,5.71,4.57,3.43,6,45.43,2.29,0.86,18.86,0,0
10/04/12,17/04/12,14/04/12,105,1555,7,0,24.66999969,11.43,60.57,22.86,27.43,40,50.86,8.57,18.86,81.14,2.86,8.57,44,0,0
17/04/12,24/04/12,21/04/12,112,1562,7,0,24.56375656,0.86,39.43,2.86,8,27.71,23.71,0.57,5.71,27.14,2,1.71,14.29,0,0
24/04/12,01/05/12,28/04/12,119,1569,7,0,24.61125717,2.86,29.71,19.43,21.14,46.86,19.43,3.43,10.29,28.57,1.71,1.14,22.29,0,0
01/05/12,08/05/12,05/05/12,126,1576,7,0,26.51875458,21.71,23.43,43.43,111.43,94.29,40,24,37.14,22.29,0.57,13.71,1.71,0,0
08/05/12,15/05/12,12/05/12,133,1583,7,0,26.79749832,18.86,21.14,37.14,91.43,43.43,24.57,9.71,29.14,17.14,1.14,16.57,5.71,0,0
15/05/12,22/05/12,19/05/12,140,1590,7,0,26.0937439,1.71,72.29,8,5.14,14.86,7.14,0.29,10.57,34.57,10.86,3.71,4.57,0,0
22/05/12,29/05/12,26/05/12,147,1597,7,0,26.54874573,1.43,17.43,2.86,4.29,12,8.29,1.14,12.86,39.71,1.43,4.57,1.14,0,0
29/05/12,05/06/12,02/06/12,154,1604,7,0,27.53874741,4,24.57,18.29,22.29,48.57,21.71,1.71,10.29,27.43,12,5.71,4.57,0,0
05/06/12,12/06/12,09/06/12,161,1611,7,0,27.57875214,1.71,7.71,3.14,2.57,16.29,8,0,2,11.14,0.86,1.43,0.86,0,0
12/06/12,19/06/12,16/06/12,168,1618,7,0,28.0525032,3.43,13.71,9.71,16.86,26.86,14.29,0.29,2.29,22,4.86,1.14,2.57,0,0
19/06/12,26/06/12,23/06/12,175,1625,7,0,27.82125244,0.57,6.29,3.71,5.14,12.29,4.29,0,1.43,9.14,6.86,1.14,4.57,0,0
26/06/12,03/07/12,30/06/12,182,1632,7,0,28.84500275,1.14,4.57,2.86,24.57,58.86,78.86,0,8,6.29,3.43,5.71,1.14,0,0
03/07/12,10/07/12,07/07/12,189,1639,7,0,29.46249924,6.86,14.29,20,106.86,126.29,124,0.57,28.57,13.14,0.57,10.86,1.71,0,0
10/07/12,17/07/12,14/07/12,196,1646,7,0,29.41875229,0.29,0,0,1.14,2.86,2,0,0,0,0,0.29,0,0,0
17/07/12,24/07/12,21/07/12,203,1653,7,0,29.18000183,0.29,0.29,1.14,2.86,5.43,5.71,0.29,0.57,1.14,0.57,1.71,0.29,0,0
24/07/12,31/07/12,28/07/12,210,1660,7,0,29.80999908,0.57,8.29,3.43,8.86,12,8.86,0,0.86,6.57,1.71,1.14,0.29,0,0
31/07/12,07/08/12,04/08/12,217,1667,7,0,30.29000626,1.43,13.43,2.86,9.71,30.57,22.29,0.29,4,8.57,2,0.86,0,0,0
07/08/12,14/08/12,11/08/12,224,1674,7,1,30.65875015,2.86,56,15.43,53.14,138.86,96,0,10.86,50.86,23.43,3.43,5.14,0,0
15/08/12,29/08/12,22/08/12,235,1689,14,0,30.00000203,1.14,22,9.14,37.14,56,24.29,0.29,2.86,15.43,16.57,0,1.43,0,0
29/08/12,12/09/12,05/09/12,249,1703,14,0,29.14666748,2.29,4.86,6,69.43,76,28.29,0,3.14,17.14,0.57,0.29,0.29,0,0
12/09/12,26/09/12,19/09/12,263,1717,14,0,28.66999919,1.43,18.57,8.86,34.29,38,22.57,0,1.71,15.43,2.57,2.57,0.57,0,0
26/09/12,10/10/12,03/10/12,277,1731,14,0,28.47533569,25.43,11.14,3.14,9.14,35.71,20.57,0.57,10.29,15.43,3.43,1.14,0.57,0,0
10/10/12,24/10/12,17/10/12,291,1745,14,0,28.4946696,5.43,20.57,5.43,18.57,16.57,14,0.29,4,7.71,1.14,0.86,0,0,0
24/10/12,07/11/12,31/10/12,305,1759,14,0,27.05599772,6,4.29,1.14,8.29,12.86,14.14,2.14,3.43,4.29,0.14,1.14,0,0,0
07/11/12,14/11/12,11/11/12,316,1766,7,0,25.51874695,12,34.86,12.57,93.71,49.14,44.57,22.86,6.29,12.57,0.57,1.71,0,0,0
14/11/12,21/11/12,18/11/12,323,1773,7,0,24.54375229,5.43,64.29,5.71,27.71,9.14,12.29,12,8,8.29,2.29,0.86,0,0,0
21/11/12,28/11/12,25/11/12,330,1780,7,0,24.17250214,6.86,15.43,4,18.86,9.71,58.29,29.14,19.43,5.14,1.14,5.14,0,0,0
28/11/12,05/12/12,02/12/12,337,1787,7,0,23.96750031,23.14,6.57,3.71,20.86,7.71,26.29,34.29,14.57,3.43,2,0.57,0,0,0
05/12/12,12/12/12,09/12/12,344,1794,7,0,23.90374908,7.14,3.43,2.29,16.29,1.14,6.29,15.43,10.57,4,0.29,0.57,0,0,0
12/12/12,19/12/12,16/12/12,351,1801,7,0,23.24499664,4,4.29,0,3.43,0.86,7.14,3.71,13.14,2.86,0.57,0.29,0,0,0
19/12/12,26/12/12,23/12/12,358,1808,7,0,22.86124954,3.43,2.86,0,1.43,0.29,2.29,2,4.29,2.86,0,0,0,0,0
26/12/12,02/01/13,30/12/12,365,1815,7,0,22.89999924,4.29,2.57,1.14,2.29,2.57,5.14,12.86,7.71,5.71,0,0.29,0.86,0,0
02/01/13,09/01/13,06/01/13,6,1822,7,0,22.56374893,24.57,8.57,1.71,20.57,6.86,20,113.14,40.57,29.71,2.29,1.14,4.57,0,5.71
09/01/13,16/01/13,13/01/13,13,1829,7,0,23.05875168,3.71,5.71,0.57,6,1.14,4.86,36.57,24.57,11.71,0,0,4,0.86,7.43
16/01/13,23/01/13,20/01/13,20,1836,7,0,23.14750061,16.57,6.86,1.14,8.57,5.71,12.57,70.29,66.29,34.86,0,2.86,15.43,0.57,4
23/01/13,30/01/13,27/01/13,27,1843,7,8,23.01374969,2.86,1.43,1.14,9.71,5.43,19.14,17.71,24.57,19.71,0.29,1.14,30,0,3.14
07/02/13,14/02/13,11/02/13,42,1858,7,0,22.36249695,4.57,64.71,1.71,12,10.29,9.71,9.14,28.57,150,7.43,9.71,932.35,0,0
14/02/13,21/02/13,18/02/13,49,1865,7,0,21.78124771,1.14,4,1.43,8.86,9.14,7.43,4.57,7.43,23.14,2.29,1.43,67.71,0,0
21/02/13,07/03/13,28/02/13,59,1879,14,0,21.77933553,5.43,3.71,3.14,125.43,56,76.57,37.71,45.71,104,0.86,12.57,68.86,2.57,1.14
07/03/13,21/03/13,14/03/13,73,1893,14,0,21.91200155,4.57,42,23.14,55.43,62.57,57.14,65.43,58.57,86.29,1.71,25.71,38,1.14,0.29
21/03/13,04/04/13,28/03/13,87,1907,14,0,21.98866577,17.71,16.57,10,16.57,49.14,27.43,22.57,49.71,106.57,5.14,24,79.71,0.29,0
04/04/13,18/04/13,11/04/13,101,1921,14,0,22.1026652,6.29,7.43,0.57,31.14,21.43,26,11.14,28.29,71.43,2.57,3.71,13.43,0,0
18/04/13,02/05/13,25/04/13,115,1935,14,0,23.57933146,9.71,4.29,10,57.14,24,20.57,6.86,14.57,41.71,1.14,3.71,10,0,0
02/05/13,16/05/13,09/05/13,129,1949,14,0,23.85399984,2.43,7.57,4.14,9.43,7.71,6.29,1.57,4.86,19.57,4.14,0.43,9.57,0,0.14
16/05/13,30/05/13,23/05/13,143,1963,14,0,25.87866618,3.71,6.43,3.86,8.29,7.71,5.86,1.57,3.57,28.14,2.57,1.14,3.29,0,0.14
30/05/13,13/06/13,06/06/13,157,1977,14,0,27.40733032,2,5.71,3.86,4.14,5.71,6.71,1,1.14,17.43,2.14,1.43,1.57,0,0
13/06/13,27/06/13,20/06/13,171,1991,14,0,28.94933268,0.14,5.29,3.14,2.14,6.43,7.43,0.43,0.71,18.71,0.29,0.14,0.57,0,0
27/06/13,11/07/13,04/07/13,185,2005,14,0,29.12132975,1,4.71,4.71,2,6.29,9,0.14,1.14,14.14,1.57,1.57,1.29,0.14,0
11/07/13,25/07/13,18/07/13,199,2019,14,0,28.74666951,0.43,3.43,2.71,13,12.57,23.29,0,0.86,9.43,1,1.57,0.57,0,0
25/07/13,08/08/13,01/08/13,213,2033,14,0,29.5473348,0,6.71,3.29,7.43,11.86,15.43,1.29,0.71,0.43,0,0.43,0.29,0,0.14
08/08/13,22/08/13,15/08/13,227,2047,14,0,29.61533407,0.14,3.43,3.86,12,15.86,16.29,0.29,0.29,9.71,0.86,1,1,0,0
22/08/13,05/09/13,29/08/13,241,2061,14,0,28.87266642,0.57,1.43,1.86,6.57,8.43,3.86,0.57,1.43,3,0.14,0,0.71,0,0
05/09/13,19/09/13,12/09/13,255,2075,14,0,29.12333171,0.29,3.29,2.43,5.71,28.86,12,0,2.14,3,0.71,0.57,0,0,0
19/09/13,03/10/13,26/09/13,269,2089,14,0,28.7793335,0.57,4.57,1.14,4.29,36,24.29,0.29,0.29,9.14,0,0.86,0,0,0
03/10/13,17/10/13,10/10/13,283,2103,14,0,28.26932983,0.43,6.29,0.86,5.86,26.71,13.14,0,2.57,5.86,0.86,0.57,0.29,0,0
17/10/13,31/10/13,24/10/13,297,2117,14,0,26.93199666,2.86,4.43,3.14,5.43,22.86,11.14,0.14,2,4.86,0.29,0.29,0.29,0,0
31/10/13,14/11/13,07/11/13,311,2131,14,9,25.81999715,1,0.43,0.71,1.86,3.71,2.57,0.29,0,1.14,0,0.14,0.29,0,0.14
23/11/13,30/11/13,27/11/13,331,2147,7,0,24.31375275,10.29,9.43,0.29,5.43,4.86,4.29,35.43,30.29,5.43,0.29,0.86,0,0,0
30/11/13,07/12/13,04/12/13,338,2154,7,0,23.88125,4,17.71,0.57,1.14,2.86,7.43,88,48.57,13.14,0,2.86,0,0.57,0.57
07/12/13,14/12/13,11/12/13,345,2161,7,0,23.46249924,2.86,10.57,2,6.29,4,4,56.57,37.71,5.43,0.29,0.86,0,0,1.71
14/12/13,21/12/13,18/12/13,352,2168,7,0,23.41625366,4,5.43,1.71,3.43,1.14,0.86,13.14,6.86,1.71,1.43,0,0,0,0
21/12/13,28/12/13,25/12/13,359,2175,7,0,23.78000031,2.86,4,1.43,2.57,0.57,0.29,11.71,6.86,5.43,0,0,0.57,0,0
28/12/13,04/01/14,01/01/14,1,2182,7,0,22.89499817,0,5.43,1.14,0.86,0.86,0.86,3.71,5.43,5.71,0,0,0.57,0,0
04/01/14,11/01/14,08/01/14,8,2189,7,0,21.76750336,1.14,0.29,0.29,1.14,0,0.57,4.29,3.43,6.86,0.86,0,6,0,0
11/01/14,18/01/14,15/01/14,15,2196,7,0,21.66999969,1.14,0,1.71,1.43,0.86,0.86,7.14,5.43,4,0.29,0.57,7.43,0,0.86
18/01/14,25/01/14,22/01/14,22,2203,7,0,21.16999969,5.71,2.29,1.14,2.86,6.86,6.86,45.71,34.86,16,0,8,57.71,0,2.29
25/01/14,01/02/14,29/01/14,29,2210,7,0,21.45874939,12.57,32,3.43,7.43,12.57,13.14,66.29,57.71,119.43,5.71,21.71,609.14,0,1.71
01/02/14,08/02/14,05/02/14,36,2217,7,0,21.40500031,6.29,18.29,0,4.57,6.86,7.43,31.43,44.57,44.57,4,6.29,430.86,0,1.71
08/02/14,15/02/14,12/02/14,43,2224,7,0,21.44000015,2,0.29,0,0.57,2.29,2.29,0.86,4.57,7.43,0.29,1.43,26,0,0.29
15/02/14,22/02/14,19/02/14,50,2231,7,0,21.85749588,2.86,4,0,2.29,4,2.86,6.86,10.86,15.71,0.29,1.14,42,0.29,1.71
22/02/14,01/03/14,26/02/14,57,2238,7,0,22.23125229,2.29,2.57,0.86,1.71,2.57,2.86,4.86,5.14,9.43,1.43,2.29,32,0,0.57
01/03/14,09/03/14,05/03/14,64,2246,8,NA,22.51111247,3,6,0.75,2.75,5.5,6.25,5.25,9.5,28,1,2.5,37.25,0,2.5
