open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
02/10/08,09/10/08,06/10/08,280,269,7,0,27.01374969,1.14,16.57,8.86,8,39.14,1.43,9.71,20,9.43,1.43,4.29,0,0.29,0
09/10/08,16/10/08,13/10/08,287,276,7,0,27.76500092,6,11.43,5.43,24.86,5.14,2.29,7.14,11.71,11.43,1.14,2.57,0,0,0.29
16/10/08,23/10/08,20/10/08,294,283,7,3,27.1625,7.14,5.43,5.43,9.14,6,1.14,5.43,4,5.71,0,2.86,0,0,0
26/10/08,02/11/08,30/10/08,304,293,7,0,25.7875,6,45.43,2.57,27.14,12.57,0.57,20,22,7.14,10,3.43,0,0.29,0
02/11/08,09/11/08,06/11/08,311,300,7,0,25.21500168,5.14,14.86,2.29,16,4,1.71,68.57,30.29,8,8.57,9.14,0,0,0
09/11/08,16/11/08,13/11/08,318,307,7,0,25.12999496,44,45.14,18.29,38.29,11.43,5.14,177.71,36,14.29,1.14,6.86,0,0.57,0
16/11/08,23/11/08,20/11/08,325,314,7,0,24.64249573,34.86,19.43,6.29,33.71,11.43,2.86,125.14,72,18.29,0,5.14,0,0.57,0.57
23/11/08,30/11/08,27/11/08,332,321,7,0,24.39875565,9.71,84,2.86,42.86,8,1.14,305.14,49.14,15.43,1.14,3.43,0,5.14,0
30/11/08,07/12/08,04/12/08,339,328,7,0,24.02749786,12.57,33.14,2.86,54.86,16,2.86,322.86,99.43,41.71,1.14,6.29,0,47.43,16.57
07/12/08,14/12/08,11/12/08,346,335,7,0,23.3437439,4,16.57,1.71,28.57,2.86,0.57,76,64.57,19.43,1.14,0.57,0,9.14,4.57
14/12/08,21/12/08,18/12/08,353,342,7,0,23.19500504,3.43,12,1.14,18.86,2.86,3.43,120,72.57,37.71,1.14,12,4,12.57,10.29
21/12/08,28/12/08,25/12/08,360,349,7,0,22.97249756,1.71,39.43,1.71,27.43,14.29,6.29,97.14,67.43,108,0.57,2.29,24,24,68.57
28/12/08,04/01/09,01/01/09,1,356,7,0,22.83125458,0.57,22.86,1.71,9.14,4.57,0.57,53.71,42.29,89.14,0.57,3.43,85.14,6.86,6.86
04/01/09,08/01/09,06/01/09,6,360,4,1,23.20999756,2,7,0,4,1,0,8,10,40,0,3,107,3,3
09/01/09,16/01/09,13/01/09,13,368,7,0,23.14124832,1.43,3.43,1.71,32.86,8.86,2.57,3.71,10,19.71,1.14,0,138.86,0.29,0
16/01/09,23/01/09,20/01/09,20,375,7,0,23.65374908,5.71,12,2.29,42.86,48,18.29,8,25.14,30.86,0,4,257.71,0,0
23/01/09,30/01/09,27/01/09,27,382,7,0,24.71500168,4,10,5.71,11.43,25.14,10.29,4.29,7.14,6.29,0.57,1.71,53.43,0.29,0.29
30/01/09,06/02/09,03/02/09,34,389,7,0,24.07624969,14.86,40,19.43,40.57,68,8.57,35.43,30.86,54.29,1.71,2.86,546.86,0,0
06/02/09,13/02/09,10/02/09,41,396,7,0,23.71875153,41.71,22.86,20,13.14,36.57,17.71,42.86,37.71,32.57,4,4.57,254.29,0,0.57
13/02/09,20/02/09,17/02/09,48,403,7,0,22.87249908,48,8,5.71,30.29,103.43,37.71,118.86,101.14,22.86,0.57,32.57,62.86,7.43,0
20/02/09,27/02/09,24/02/09,55,410,7,0,22.75250015,4.86,84.29,3.71,13.14,35.14,6.57,12,24,13.71,4,2.57,60.29,0,0
27/02/09,06/03/09,03/03/09,62,417,7,0,23.25375137,6.57,19.71,8.57,23.71,65.71,29.71,9.43,25.43,58.57,0.29,8.29,35.43,11.14,0
06/03/09,13/03/09,10/03/09,69,424,7,7,23.40749512,28.29,27.71,13.14,48.86,106.57,54.57,8.29,26,22.57,0,2.86,15.43,1.43,0
20/03/09,27/03/09,24/03/09,83,438,7,0,23.7337471,7.43,20.29,4.57,10.86,17.43,6.86,0.57,3.71,35.43,1.43,0.86,27.14,0.57,0
27/03/09,03/04/09,31/03/09,90,445,7,7,23.8974968,2.57,7.71,3.14,7.14,25.71,17.71,1.14,3.14,9.14,0,0.29,4.86,0,0
