"open","close","resolution_days","time_step","G_menardii","G_siphonifera","O_universa","G_sacculifer","G_ruber_pink","G_ruber_white","P_obliquiloculata","N_dutertrei","G_calida","G_crassaformis","G_glutinata","G_truncatulinoides","G_bulloides","G_falconensis","sst"
2013-11-23,2013-11-30,7,189,10.29,9.43,0.29,5.43,4.86,4.29,35.43,30.29,5.43,0.29,0.86,0,0,0,24.31375275
2013-11-30,2013-12-07,7,190,4,17.71,0.57,1.14,2.86,7.43,88,48.57,13.14,0,2.86,0,0.57,0.57,23.88125
2013-12-07,2013-12-14,7,191,2.86,10.57,2,6.29,4,4,56.57,37.71,5.43,0.29,0.86,0,0,1.71,23.46249924
2013-12-14,2013-12-21,7,192,4,5.43,1.71,3.43,1.14,0.86,13.14,6.86,1.71,1.43,0,0,0,0,23.41625366
2013-12-21,2013-12-28,7,193,2.86,4,1.43,2.57,0.57,0.29,11.71,6.86,5.43,0,0,0.57,0,0,23.78000031
2013-12-28,2014-01-04,7,194,0,5.43,1.14,0.86,0.86,0.86,3.71,5.43,5.71,0,0,0.57,0,0,22.89499817
2014-01-04,2014-01-11,7,195,1.14,0.29,0.29,1.14,0,0.57,4.29,3.43,6.86,0.86,0,6,0,0,21.76750336
2014-01-11,2014-01-18,7,196,1.14,0,1.71,1.43,0.86,0.86,7.14,5.43,4,0.29,0.57,7.43,0,0.86,21.66999969
2014-01-18,2014-01-25,7,197,5.71,2.29,1.14,2.86,6.86,6.86,45.71,34.86,16,0,8,57.71,0,2.29,21.16999969
2014-01-25,2014-02-01,7,198,12.57,32,3.43,7.43,12.57,13.14,66.29,57.71,119.43,5.71,21.71,609.14,0,1.71,21.45874939
2014-02-01,2014-02-08,7,199,6.29,18.29,0,4.57,6.86,7.43,31.43,44.57,44.57,4,6.29,430.86,0,1.71,21.40500031
2014-02-08,2014-02-15,7,200,2,0.29,0,0.57,2.29,2.29,0.86,4.57,7.43,0.29,1.43,26,0,0.29,21.44000015
2014-02-15,2014-02-22,7,201,2.86,4,0,2.29,4,2.86,6.86,10.86,15.71,0.29,1.14,42,0.29,1.71,21.85749588
2014-02-22,2014-03-01,7,202,2.29,2.57,0.86,1.71,2.57,2.86,4.86,5.14,9.43,1.43,2.29,32,0,0.57,22.23125229
2014-03-01,2014-03-09,8,203,3,6,0.75,2.75,5.5,6.25,5.25,9.5,28,1,2.5,37.25,0,2.5,22.51111247
