"open","sst","G_menardii","G_siphonifera","O_universa","G_sacculifer","G_ruber_pink","G_ruber_white","P_obliquiloculata","N_dutertrei","G_calida","G_crassaformis","G_glutinata","G_truncatulinoides","G_bulloides","G_falconensis"
2013-04-18,1.4766662597654,3.42,-3.14,9.43,26,2.57,-5.43,-4.28,-13.72,-29.72,-1.43,0,-3.43,0,0
2013-05-02,0.274668375651199,-7.28,3.28,-5.86,-47.71,-16.29,-14.28,-5.29,-9.71,-22.14,3,-3.28,-0.43,0,0.14
2013-05-16,2.0246663411458,1.28,-1.14,-0.28,-1.14,0,-0.43,0,-1.29,8.57,-1.57,0.71,-6.28,0,0
2013-05-30,1.5286641438803,-1.71,-0.72,0,-4.15,-2,0.85,-0.57,-2.43,-10.71,-0.43,0.29,-1.72,0,-0.14
2013-06-13,1.5420023600261,-1.86,-0.42,-0.72,-2,0.72,0.72,-0.57,-0.43,1.28,-1.85,-1.29,-1,0,0
2013-06-27,0.171997070312401,0.86,-0.58,1.57,-0.14,-0.14,1.57,-0.29,0.43,-4.57,1.28,1.43,0.72,0.14,0
2013-07-11,-0.374660237630202,-0.57,-1.28,-2,11,6.28,14.29,-0.14,-0.28,-4.71,-0.57,0,-0.72,-0.14,0
2013-07-25,0.800665283203202,-0.43,3.28,0.58,-5.57,-0.710000000000001,-7.86,1.29,-0.15,-9,-1,-1.14,-0.28,0,0.14
2013-08-08,0.0679992675779992,0.14,-3.28,0.57,4.57,4,0.859999999999999,-1,-0.42,9.28,0.86,0.57,0.71,0,-0.14
2013-08-22,-0.742667643229201,0.43,-2,-2,-5.43,-7.43,-12.43,0.28,1.14,-6.71,-0.72,-1,-0.29,0,0
2013-09-05,0.250665283203201,-0.28,1.86,0.57,-0.86,20.43,8.14,-0.57,0.71,0,0.57,0.57,-0.71,0,0
2013-09-19,-0.343998209635298,0.28,1.28,-1.29,-1.42,7.14,12.29,0.29,-1.85,6.14,-0.71,0.29,0,0,0
2013-10-03,-0.510003662109501,-0.14,1.72,-0.28,1.57,-9.29,-11.15,-0.29,2.28,-3.28,0.86,-0.29,0.29,0,0
2013-10-17,-1.3373331705729,2.43,-1.86,2.28,-0.430000000000001,-3.85,-2,0.14,-0.57,-1,-0.57,-0.28,0,0,0
2013-10-31,-1.1119995117187,-1.86,-4,-2.43,-3.57,-19.15,-8.57,0.15,-2,-3.72,-0.29,-0.15,0,0,0.14
2013-11-23,-1.5062444051109,9.29,9,-0.42,3.57,1.15,1.72,35.14,30.29,4.29,0.29,0.72,-0.29,0,-0.14
2013-11-30,-0.4325027465818,-6.29,8.28,0.28,-4.29,-2,3.14,52.57,18.28,7.71,-0.29,2,0,0.57,0.57
2013-12-07,-0.4187507629393,-1.14,-7.14,1.43,5.15,1.14,-3.43,-31.43,-10.86,-7.71,0.29,-2,0,-0.57,1.14
2013-12-14,-0.0462455749515023,1.14,-5.14,-0.29,-2.86,-2.86,-3.14,-43.43,-30.85,-3.72,1.14,-0.86,0,0,-1.71
2013-12-21,0.363746643066602,-1.14,-1.43,-0.28,-0.86,-0.57,-0.57,-1.43,0,3.72,-1.43,0,0.57,0,0
2013-12-28,-0.885002136230298,-2.86,1.43,-0.29,-1.71,0.29,0.57,-8,-1.43,0.28,0,0,0,0,0
2014-01-04,-1.127494812012,1.14,-5.14,-0.85,0.28,-0.86,-0.29,0.58,-2,1.15,0.86,0,5.43,0,0
2014-01-11,-0.0975036621093004,0,-0.29,1.42,0.29,0.86,0.29,2.85,2,-2.86,-0.57,0.57,1.43,0,0.86
2014-01-18,-0.500000000000199,4.57,2.29,-0.57,1.43,6,6,38.57,29.43,12,-0.29,7.43,50.28,0,1.43
2014-01-25,0.2887496948243,6.86,29.71,2.29,4.57,5.71,6.28,20.58,22.85,103.43,5.71,13.71,551.43,0,-0.58
2014-02-01,-0.0537490844724999,-6.28,-13.71,-3.43,-2.86,-5.71,-5.71,-34.86,-13.14,-74.86,-1.71,-15.42,-178.28,0,0
2014-02-08,0.0349998474120987,-4.29,-18,0,-4,-4.57,-5.14,-30.57,-40,-37.14,-3.71,-4.86,-404.86,0,-1.42
2014-02-15,0.417495727539002,0.86,3.71,0,1.72,1.71,0.57,6,6.29,8.28,0,-0.29,16,0.29,1.42
2014-02-22,0.373756408691399,-0.57,-1.43,0.86,-0.58,-1.43,0,-2,-5.72,-6.28,1.14,1.15,-10,-0.29,-1.14
2014-03-01,0.279860178629399,0.71,3.43,-0.11,1.04,2.93,3.39,0.39,4.36,18.57,-0.43,0.21,5.25,0,1.93
